gap_y,gap_height,time
0.2304569282711483,0.21972276259575127,2
0.22106923195367256,0.2166666992085975,4
0.5144742471577479,0.23184198127235828,6
0.49963741240972925,0.27726329469892497,8
0.7614194870750299,0.2789967164618955,10
0.28343930416823554,0.20685083829652262,12
0.6793568845619364,0.25760759480591994,14
0.6073639592680593,0.2547184550499661,16
0.4821239959959896,0.2117750157805135,18
0.4373081931567541,0.238138104731968,20
0.4772311531014711,0.23993409209943467,22
0.32065979029150804,0.2875591720175389,24
0.3440691659640182,0.21082056495029464,26
0.3536142876157753,0.286931234816978,28
0.796882156003335,0.2707503865121643,30
0.3482590286866679,0.29663473950893154,32
0.7764480048269702,0.2727874841904768,34
0.5040268758514432,0.2558864916180129,36
0.5860165594378635,0.2921235293361962,38
0.20540370713053344,0.2666708143059163,40
